timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708703708545,3595,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-64,,true,,2169,445,100,100,null,0,197,3117
1708703708739,3595,B_0-171,200,OK,Thread Group 1-64,text,true,,2169,445,100,100,https://blazedemo.com/,3593,0,3117
1708703708365,3883,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-60,,true,,2362,445,100,100,null,0,107,3382
1708703708471,3883,B_0-171,200,OK,Thread Group 1-60,text,true,,2362,445,100,100,https://blazedemo.com/,3882,0,3382
1708703705657,6094,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2196,445,100,100,null,0,608,5601
1708703706265,6094,B_0-171,200,OK,Thread Group 1-7,text,true,,2196,445,100,100,https://blazedemo.com/,6084,0,5601
1708703706988,5370,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-37,,true,,2261,445,100,100,null,0,35,4827
1708703707023,5370,B_0-171,200,OK,Thread Group 1-37,text,true,,2261,445,100,100,https://blazedemo.com/,5369,0,4827
1708703706826,5568,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-33,,true,,2377,445,100,100,null,0,53,4972
1708703706879,5568,B_0-171,200,OK,Thread Group 1-33,text,true,,2377,445,100,100,https://blazedemo.com/,5567,0,4972
1708703709017,3426,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-76,,true,,2285,445,100,100,null,0,97,2734
1708703709113,3426,B_0-171,200,OK,Thread Group 1-76,text,true,,2285,445,100,100,https://blazedemo.com/,3420,0,2734
1708703709476,2994,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-86,,true,,2159,445,100,100,null,0,87,2287
1708703709563,2994,B_0-171,200,OK,Thread Group 1-86,text,true,,2159,445,100,100,https://blazedemo.com/,2991,0,2287
1708703708798,3695,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-71,,true,,2251,445,100,100,null,0,82,2968
1708703707165,5328,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-40,,true,,2327,445,100,100,null,0,82,4869
1708703708879,3695,B_0-171,200,OK,Thread Group 1-71,text,true,,2251,445,100,100,https://blazedemo.com/,3695,0,2968
1708703707247,5328,B_0-171,200,OK,Thread Group 1-40,text,true,,2327,445,100,100,https://blazedemo.com/,5327,0,4869
1708703708978,3498,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-75,,true,,2261,445,100,100,null,0,108,2765
1708703709086,3498,B_0-171,200,OK,Thread Group 1-75,text,true,,2261,445,100,100,https://blazedemo.com/,3497,0,2765
1708703708206,4323,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-57,,true,,2314,445,100,100,null,0,64,3580
1708703708270,4323,B_0-171,200,OK,Thread Group 1-57,text,true,,2314,445,100,100,https://blazedemo.com/,4322,0,3580
1708703709133,3363,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-79,,true,,2398,445,100,100,null,0,103,2613
1708703709236,3363,B_0-171,200,OK,Thread Group 1-79,text,true,,2398,445,100,100,https://blazedemo.com/,3360,0,2613
1708703708302,4215,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-59,,true,,2336,445,100,100,null,0,95,3448
1708703708397,4215,B_0-171,200,OK,Thread Group 1-59,text,true,,2336,445,100,100,https://blazedemo.com/,4213,0,3448
1708703705669,6501,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2251,445,100,100,null,0,457,5717
1708703706125,6501,B_0-171,200,OK,Thread Group 1-5,text,true,,2251,445,100,100,https://blazedemo.com/,6501,0,5717
1708703708701,3836,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-65,,true,,2164,445,100,100,null,0,92,3052
1708703708793,3836,B_0-171,200,OK,Thread Group 1-65,text,true,,2164,445,100,100,https://blazedemo.com/,3831,0,3052
1708703706939,5681,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-36,,true,,2412,445,100,100,null,0,13,4828
1708703706951,5681,B_0-171,200,OK,Thread Group 1-36,text,true,,2412,445,100,100,https://blazedemo.com/,5679,0,4828
1708703706734,5804,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-26,,true,,2332,445,100,100,null,0,95,5012
1708703706829,5804,B_0-171,200,OK,Thread Group 1-26,text,true,,2332,445,100,100,https://blazedemo.com/,5801,0,5012
1708703710002,2629,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-95,,true,,2187,445,100,100,null,0,7,1830
1708703710009,2629,B_0-171,200,OK,Thread Group 1-95,text,true,,2187,445,100,100,https://blazedemo.com/,2624,0,1830
1708703705250,6626,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2177,445,100,100,null,0,764,5829
1708703706014,6626,B_0-171,200,OK,Thread Group 1-1,text,true,,2177,445,100,100,https://blazedemo.com/,6625,0,5829
1708703706103,6397,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-16,,true,,2395,445,100,100,null,0,146,5593
1708703706248,6397,B_0-171,200,OK,Thread Group 1-16,text,true,,2395,445,100,100,https://blazedemo.com/,6392,0,5593
1708703706473,6028,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-20,,true,,2292,445,100,100,null,0,145,5228
1708703706618,6028,B_0-171,200,OK,Thread Group 1-20,text,true,,2292,445,100,100,https://blazedemo.com/,6027,0,5228
1708703706646,5946,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-24,,true,,2218,445,100,100,null,0,55,5146
1708703706700,5946,B_0-171,200,OK,Thread Group 1-24,text,true,,2218,445,100,100,https://blazedemo.com/,5943,0,5146
1708703708744,3787,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-66,,true,,2312,445,100,100,null,0,119,2988
1708703708863,3787,B_0-171,200,OK,Thread Group 1-66,text,true,,2312,445,100,100,https://blazedemo.com/,3785,0,2988
1708703708843,3768,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-72,,true,,2384,445,100,100,null,0,49,2946
1708703708891,3768,B_0-171,200,OK,Thread Group 1-72,text,true,,2384,445,100,100,https://blazedemo.com/,3768,0,2946
1708703706863,5713,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-29,,true,,2233,445,100,100,null,0,95,4892
1708703706957,5713,B_0-171,200,OK,Thread Group 1-29,text,true,,2233,445,100,100,https://blazedemo.com/,5705,0,4892
1708703706816,5831,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-28,,true,,2291,445,100,100,null,0,31,4994
1708703706847,5831,B_0-171,200,OK,Thread Group 1-28,text,true,,2291,445,100,100,https://blazedemo.com/,5830,0,4994
1708703709560,2999,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-87,,true,,2177,445,100,100,null,0,119,2162
1708703709679,2999,B_0-171,200,OK,Thread Group 1-87,text,true,,2177,445,100,100,https://blazedemo.com/,2998,0,2162
1708703706481,6137,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-21,,true,,2350,445,100,100,null,0,67,5298
1708703706547,6137,B_0-171,200,OK,Thread Group 1-21,text,true,,2350,445,100,100,https://blazedemo.com/,6137,0,5298
1708703709418,3280,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-85,,true,,2362,445,100,100,null,0,3,2429
1708703709421,3280,B_0-171,200,OK,Thread Group 1-85,text,true,,2362,445,100,100,https://blazedemo.com/,3276,0,2429
1708703708799,3816,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-68,,true,,2345,445,100,100,null,0,90,2954
1708703708888,3816,B_0-171,200,OK,Thread Group 1-68,text,true,,2345,445,100,100,https://blazedemo.com/,3815,0,2954
1708703709293,3291,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-82,,true,,2170,445,100,100,null,0,126,2423
1708703709418,3291,B_0-171,200,OK,Thread Group 1-82,text,true,,2170,445,100,100,https://blazedemo.com/,3285,0,2423
1708703707317,5312,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-43,,true,,2408,445,100,100,null,0,82,4443
1708703707399,5312,B_0-171,200,OK,Thread Group 1-43,text,true,,2408,445,100,100,https://blazedemo.com/,5311,0,4443
1708703710290,2372,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-100,,true,,2245,445,100,100,null,0,59,1500
1708703710348,2372,B_0-171,200,OK,Thread Group 1-100,text,true,,2245,445,100,100,https://blazedemo.com/,2360,0,1500
1708703710136,2535,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-97,,true,,2384,445,100,100,null,0,51,1662
1708703710186,2535,B_0-171,200,OK,Thread Group 1-97,text,true,,2384,445,100,100,https://blazedemo.com/,2535,0,1662
1708703709898,2773,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-93,,true,,2199,445,100,100,null,0,51,1896
1708703709948,2773,B_0-171,200,OK,Thread Group 1-93,text,true,,2199,445,100,100,https://blazedemo.com/,2773,0,1896
1708703707027,5681,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-32,,true,,2200,445,100,100,null,0,17,4803
1708703707044,5681,B_0-171,200,OK,Thread Group 1-32,text,true,,2200,445,100,100,https://blazedemo.com/,5678,0,4803
1708703706565,6102,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-22,,true,,2254,445,100,100,null,0,60,5227
1708703706624,6102,B_0-171,200,OK,Thread Group 1-22,text,true,,2254,445,100,100,https://blazedemo.com/,6101,0,5227
1708703706429,6289,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-19,,true,,2377,445,100,100,null,0,24,5389
1708703706453,6289,B_0-171,200,OK,Thread Group 1-19,text,true,,2377,445,100,100,https://blazedemo.com/,6288,0,5389
1708703707720,5016,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-51,,true,,2359,445,100,100,null,0,11,4116
1708703707730,5016,B_0-171,200,OK,Thread Group 1-51,text,true,,2359,445,100,100,https://blazedemo.com/,5016,0,4116
1708703705682,6762,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2295,445,100,100,null,0,304,5865
1708703705984,6762,B_0-171,200,OK,Thread Group 1-8,text,true,,2295,445,100,100,https://blazedemo.com/,6759,0,5865
1708703708470,4202,B_0,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-62,,true,,2312,445,100,100,null,0,78,3298
1708703708547,4202,B_0-171,200,OK,Thread Group 1-62,text,true,,2312,445,100,100,https://blazedemo.com/,4198,0,3298
